2024-05-30 14:06:32,125.bbq_producer.INFO ==================================================
2024-05-30 14:06:32,126.bbq_producer.INFO Today is 2024-05-30 at 02:06 PM
2024-05-30 14:06:32,126.bbq_producer.INFO Running on: nt Windows 11
2024-05-30 14:06:32,126.bbq_producer.INFO Python version:  3.12.2
2024-05-30 14:06:32,126.bbq_producer.INFO Python path: C:\Users\derek\AppData\Local\Programs\Python\Python312
2024-05-30 14:06:32,126.bbq_producer.INFO Working dir: C:\Users\derek\OneDrive\Documents\Streaming Data\Week 5\streaming-05-smart-smoker
2024-05-30 14:06:32,127.bbq_producer.INFO ==================================================
2024-05-30 14:06:38,672.bbq_producer.INFO Sent 5/22/2021 12:20, 84.2 to 01-smoker
2024-05-30 14:07:08,672.bbq_producer.INFO Sent 5/22/2021 12:20, 84.2 to 01-smoker
2024-05-30 14:07:38,673.bbq_producer.INFO Sent 5/22/2021 12:21, 87.6 to 01-smoker
2024-05-30 14:08:08,674.bbq_producer.INFO Sent 5/22/2021 12:21, 87.6 to 01-smoker
2024-05-30 14:08:38,675.bbq_producer.INFO Sent 5/22/2021 12:22, 86.3 to 01-smoker
2024-05-30 14:09:08,677.bbq_producer.INFO Sent 5/22/2021 12:22, 86.3 to 01-smoker
2024-05-30 14:09:38,678.bbq_producer.INFO Sent 5/22/2021 12:23, 92.0 to 01-smoker
2024-05-30 14:10:08,679.bbq_producer.INFO Sent 5/22/2021 12:23, 92.0 to 01-smoker
2024-05-30 14:10:38,680.bbq_producer.INFO Sent 5/22/2021 12:24, 96.8 to 01-smoker
2024-05-30 14:11:08,681.bbq_producer.INFO Sent 5/22/2021 12:24, 96.8 to 01-smoker
