2024-06-07 15:10:18,799.bbq_producer_v1.0.INFO ==================================================
2024-06-07 15:10:18,799.bbq_producer_v1.0.INFO Today is 2024-06-07 at 03:10 PM
2024-06-07 15:10:18,799.bbq_producer_v1.0.INFO Running on: nt Windows 11
2024-06-07 15:10:18,799.bbq_producer_v1.0.INFO Python version:  3.12.2
2024-06-07 15:10:18,801.bbq_producer_v1.0.INFO Python path: C:\Users\derek\OneDrive\Documents\Streaming Data\Week 5\streaming-05-smart-smoker\.venv
2024-06-07 15:10:18,801.bbq_producer_v1.0.INFO Working dir: C:\Users\derek\OneDrive\Documents\Streaming Data\Week 5\streaming-05-smart-smoker
2024-06-07 15:10:18,801.bbq_producer_v1.0.INFO ==================================================
2024-06-07 15:10:21,301.bbq_producer_v1.0.INFO Opened RabbitMQ Admin site
2024-06-07 15:10:21,371.bbq_producer_v1.0.INFO Sent 5/22/2021 12:20, 84.2 to 01-smoker
2024-06-07 15:10:51,373.bbq_producer_v1.0.INFO Sent 5/22/2021 12:20, 84.2 to 01-smoker
2024-06-07 15:11:21,374.bbq_producer_v1.0.INFO Sent 5/22/2021 12:21, 87.6 to 01-smoker
2024-06-07 15:11:51,375.bbq_producer_v1.0.INFO Sent 5/22/2021 12:21, 87.6 to 01-smoker
2024-06-07 15:12:21,377.bbq_producer_v1.0.INFO Sent 5/22/2021 12:22, 86.3 to 01-smoker
2024-06-07 15:12:51,378.bbq_producer_v1.0.INFO Sent 5/22/2021 12:22, 86.3 to 01-smoker
2024-06-07 15:13:21,379.bbq_producer_v1.0.INFO Sent 5/22/2021 12:23, 92.0 to 01-smoker
2024-06-07 15:13:51,381.bbq_producer_v1.0.INFO Sent 5/22/2021 12:23, 92.0 to 01-smoker
2024-06-07 15:14:21,383.bbq_producer_v1.0.INFO Sent 5/22/2021 12:24, 96.8 to 01-smoker
2024-06-07 15:14:51,383.bbq_producer_v1.0.INFO Sent 5/22/2021 12:24, 96.8 to 01-smoker
2024-06-07 15:15:21,385.bbq_producer_v1.0.INFO Sent 5/22/2021 12:25, 100.6 to 01-smoker
2024-06-07 15:15:51,386.bbq_producer_v1.0.INFO Sent 5/22/2021 12:25, 100.9 to 01-smoker
2024-06-07 15:16:21,387.bbq_producer_v1.0.INFO Sent 5/22/2021 12:25, 100.9 to 01-smoker
2024-06-07 15:16:51,388.bbq_producer_v1.0.INFO Sent 5/22/2021 12:26, 104.8 to 01-smoker
2024-06-07 15:17:21,390.bbq_producer_v1.0.INFO Sent 5/22/2021 12:26, 104.8 to 01-smoker
2024-06-07 15:17:51,391.bbq_producer_v1.0.INFO Sent 5/22/2021 12:27, 108.2 to 01-smoker
